time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101312	9.0	3.0	80.0	-52.2379	24131700.0	1300.0	23.0	828.0	24.0	1409.0	297.0	23822.0	0.0	7	fan	1
8.201313	8.94032	3.0	80.0	-52.2613	26293000.0	1292.24	19.0	888.0	28.0	1436.0	302.0	19776.0	0.0	7	fan	1
8.302321	8.5875	3.0	80.0	-52.199	30560600.0	1246.38	18.0	1040.0	45.0	1416.0	210.0	12702.0	0.0	7	fan	1
8.402977	9.0	3.0	80.0	-52.309	23437900.0	1300.0	18.0	796.0	17.0	1444.0	307.0	28520.0	0.0	7	fan	1
8.504089	8.63591	3.0	80.0	-52.2113	29532000.0	1252.67	20.0	1008.0	29.0	1433.0	220.0	24347.0	0.0	7	fan	1
8.604498	9.0	3.0	80.0	-52.1752	24013500.0	1300.0	13.0	822.0	26.0	1436.0	276.0	13055.0	0.0	7	fan	1
8.706180	8.31071	3.0	80.0	-52.1598	32408300.0	1210.39	19.0	1120.0	31.0	1427.0	159.0	11288.0	0.0	7	fan	1
8.806985	8.20977	3.0	80.0	-52.1809	36702600.0	1197.27	10.0	1249.0	9.0	1419.0	110.0	4224.0	0.0	7	fan	1
8.907284	8.36153	3.0	80.0	-52.2244	33085100.0	1217.0	12.0	1123.0	16.0	1428.0	160.0	7526.0	0.0	7	fan	1
9.007477	8.85632	3.0	80.0	-52.1842	25498500.0	1281.32	11.0	863.0	16.0	1417.0	274.0	12916.0	0.0	7	fan	1
9.107535	9.0	3.0	80.0	-52.2245	22912900.0	1300.0	21.0	775.0	19.0	1414.0	285.0	6728.0	0.0	7	fan	1
9.207540	8.95225	3.0	80.0	-52.1446	22198300.0	1293.79	23.0	754.0	25.0	1362.0	274.0	6004.0	0.0	7	fan	1
9.307949	8.46006	3.0	80.0	-52.263	27551000.0	1229.81	16.0	939.0	12.0	1322.0	156.0	7174.0	0.0	7	fan	1
9.407960	8.43417	3.0	80.0	-52.2073	31660000.0	1226.44	18.0	1071.0	20.0	1392.0	171.0	3014.0	0.0	7	fan	1
9.508956	8.63142	3.0	80.0	-52.2464	28627500.0	1252.08	26.0	974.0	38.0	1430.0	244.0	7504.0	0.0	7	fan	1
9.609001	9.0	3.0	80.0	-52.2725	24569800.0	1300.0	19.0	822.0	10.0	1422.0	296.0	31106.0	0.0	7	fan	1
9.710570	8.20562	3.0	80.0	-52.2917	33365600.0	1196.73	8.0	1138.0	14.0	1402.0	132.0	7111.0	0.0	7	fan	1
9.810692	8.37619	3.0	80.0	-52.2467	31184400.0	1218.9	11.0	1050.0	16.0	1418.0	183.0	11239.0	0.0	7	fan	1
9.910818	8.48944	3.0	80.0	-52.309	30952100.0	1233.63	17.0	1042.0	20.0	1419.0	199.0	9343.0	0.0	7	fan	1
10.012026	8.9881	3.0	80.0	-52.2786	24777600.0	1298.45	32.0	840.0	43.0	1407.0	282.0	17536.0	0.0	7	fan	1
10.112971	8.11503	3.0	80.0	-52.3075	38279700.0	1184.95	10.0	1304.0	32.0	1412.0	68.0	3333.0	0.0	7	fan	1
10.213635	8.20663	3.0	80.0	-52.2832	34461400.0	1196.86	6.0	1176.0	18.0	1396.0	114.0	1375.0	0.0	7	fan	1
10.314118	8.88917	3.0	80.0	-52.3172	23080700.0	1285.59	16.0	785.0	28.0	1390.0	254.0	13370.0	0.0	7	fan	1
10.414511	9.0	3.0	80.0	-52.3267	23669100.0	1300.0	24.0	799.0	21.0	1424.0	302.0	17460.0	0.0	7	fan	1
10.515253	9.0	3.0	80.0	-52.2773	24481200.0	1300.0	29.0	833.0	29.0	1423.0	273.0	11144.0	0.0	7	fan	1
10.616140	9.0	3.0	80.0	-52.2938	23924700.0	1300.0	26.0	817.0	28.0	1437.0	279.0	9298.0	0.0	7	fan	1
10.717427	8.97619	3.0	80.0	-52.2929	24593600.0	1296.9	29.0	840.0	32.0	1429.0	290.0	11665.0	0.0	7	fan	1
10.819016	8.23774	3.0	80.0	-52.3259	35134000.0	1200.91	14.0	1203.0	25.0	1415.0	113.0	5699.0	0.0	7	fan	1
10.919940	8.00791	3.0	80.0	-52.2813	40644400.0	1171.03	1.0	1390.0	23.0	1426.0	32.0	532.0	0.0	7	fan	1
11.021030	8.31261	3.0	80.0	-52.345	33333100.0	1210.64	15.0	1142.0	19.0	1442.0	140.0	6411.0	0.0	7	fan	1
11.121537	8.53875	3.0	80.0	-52.3496	31888500.0	1240.04	18.0	1084.0	25.0	1427.0	198.0	8202.0	0.0	7	fan	1
11.221795	8.85967	3.0	80.0	-52.3644	25094400.0	1281.76	27.0	848.0	26.0	1401.0	272.0	14275.0	0.0	7	fan	1
11.322123	8.49362	3.0	80.0	-52.366	29965900.0	1234.17	14.0	1019.0	19.0	1418.0	187.0	12260.0	0.0	7	fan	1
11.422364	8.00286	3.0	80.0	-52.3593	41017800.0	1170.37	0.0	1397.0	5.0	1417.0	20.0	0.0	0.0	7	fan	1
11.522914	8.79973	3.0	80.0	-52.3656	21339900.0	1273.97	13.0	744.0	15.0	1186.0	203.0	19095.0	0.0	7	fan	1
11.623278	8.49776	3.0	80.0	-52.3389	26490900.0	1234.71	12.0	894.0	25.0	1257.0	174.0	12326.0	0.0	7	fan	1
11.724572	8.95658	3.0	80.0	-52.3355	22192600.0	1294.36	15.0	760.0	16.0	1289.0	256.0	29485.0	0.0	7	fan	1
11.825194	8.64656	3.0	80.0	-52.3559	24571400.0	1254.05	13.0	829.0	17.0	1281.0	198.0	9455.0	0.0	7	fan	1
11.925742	8.14513	3.0	80.0	-52.3124	33145900.0	1188.87	4.0	1130.0	9.0	1295.0	81.0	2048.0	0.0	7	fan	1
12.026459	8.61492	3.0	80.0	-52.3526	24504700.0	1249.94	14.0	831.0	18.0	1264.0	205.0	8346.0	0.0	7	fan	1
12.127039	9.0	3.0	80.0	-52.4047	21801000.0	1300.0	21.0	729.0	27.0	1284.0	288.0	16333.0	0.0	7	fan	1
