time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100672	0.00629921	3.0	80.0	-44.3134	9994570.0	97.6173	0.0	635.0	249.0	0.0	1.0	2822.0	0.0	1	left	1
8.202099	0.0	3.0	80.0	-44.1339	10263700.0	97.0	0.0	657.0	191.0	0.0	0.0	0.0	0.0	1	left	1
8.302756	0.473815	2.90773	80.0	-44.4888	12624700.0	137.436	0.0	802.0	382.0	0.0	0.0	0.0	0.0	1	left	1
8.402775	0.00611621	2.99388	80.0	-44.5076	10360800.0	97.2018	0.0	654.0	93.0	0.0	0.0	0.0	0.0	1	left	1
8.505238	0.518519	2.86738	80.0	-44.5759	12943000.0	139.195	0.0	837.0	488.0	0.0	0.0	0.0	0.0	1	left	1
8.605276	0.0124224	2.99379	80.0	-44.2469	10200600.0	97.8137	0.0	644.0	127.0	0.0	0.0	0.0	0.0	1	left	1
8.705679	0.00607903	3.0	80.0	-44.1626	10384200.0	97.5957	0.0	658.0	79.0	0.0	0.0	0.0	0.0	1	left	1
8.807197	0.00615385	2.99385	80.0	-44.4215	10145500.0	97.2031	0.0	650.0	121.0	0.0	0.0	0.0	0.0	1	left	1
8.908479	0.00607903	3.0	80.0	-44.2857	10294200.0	97.5957	0.0	658.0	151.0	0.0	0.0	0.0	0.0	1	left	1
9.009051	0.546729	3.0	80.0	-44.1986	13486400.0	150.579	0.0	856.0	367.0	0.0	0.0	0.0	0.0	1	left	1
9.109452	0.692393	2.914	80.0	-44.2834	14313900.0	159.26	0.0	907.0	564.0	0.0	0.0	0.0	0.0	1	left	1
9.210371	0.434517	2.9951	80.0	-44.3023	12827200.0	139.264	0.0	817.0	432.0	0.0	0.0	0.0	0.0	1	left	1
9.310894	0.764411	2.33083	80.0	-45.2168	12579100.0	128.416	0.0	798.0	375.0	0.0	0.0	0.0	0.0	1	left	1
9.412115	0.639773	2.84659	80.0	-44.4625	13775100.0	149.726	0.0	880.0	526.0	0.0	0.0	0.0	0.0	1	left	1
9.513315	0.0	3.0	80.0	-44.3542	10255500.0	97.0	0.0	655.0	94.0	0.0	0.0	0.0	0.0	1	left	1
9.613318	0.6708	2.83315	80.0	-44.6776	14053900.0	151.893	0.0	887.0	515.0	0.0	0.0	0.0	0.0	1	left	1
9.715462	0.0123077	2.99385	80.0	-44.1554	10083400.0	97.8062	0.0	650.0	130.0	0.0	0.0	0.0	0.0	1	left	1
9.816755	0.00612557	3.0	80.0	-44.2435	10214900.0	97.6003	0.0	653.0	174.0	0.0	0.0	0.0	0.0	1	left	1
9.917564	0.00613497	2.99387	80.0	-44.4003	10248100.0	97.2025	0.0	652.0	149.0	0.0	0.0	0.0	0.0	1	left	1
10.017571	0.888376	3.0	80.0	-44.3708	17175300.0	184.057	0.0	1084.0	553.0	0.0	0.0	0.0	0.0	1	left	1
10.118125	0.734719	2.47555	80.0	-45.0171	12889300.0	134.913	0.0	818.0	522.0	0.0	0.0	0.0	0.0	1	left	1
10.219544	0.258621	2.74713	80.0	-44.8635	10874000.0	105.908	0.0	696.0	295.0	0.0	0.0	0.0	0.0	1	left	1
10.320046	0.0	3.0	80.0	-44.3143	9932600.0	97.0	0.0	630.0	132.0	0.0	0.0	0.0	0.0	1	left	1
10.420735	0.0123077	2.99385	80.0	-44.4938	10228900.0	97.8062	0.0	650.0	190.0	0.0	0.0	0.0	0.0	1	left	1
10.521727	0.506571	3.0	80.0	-44.4432	13132300.0	146.644	0.0	837.0	314.0	0.0	0.0	0.0	0.0	1	left	1
10.622627	0.358389	2.83624	80.0	-44.4349	11699000.0	121.478	0.0	745.0	419.0	0.0	0.0	0.0	0.0	1	left	1
10.722960	0.286131	2.71971	80.0	-44.6088	10818000.0	106.822	0.0	685.0	217.0	0.0	0.0	0.0	0.0	1	left	1
10.824872	0.0	3.0	80.0	-44.3708	10230500.0	97.0	0.0	658.0	94.0	0.0	0.0	0.0	0.0	1	left	1
10.926433	0.480454	2.76166	80.0	-44.6507	12371700.0	128.593	0.0	793.0	448.0	0.0	0.0	0.0	0.0	1	left	1
11.026721	0.325215	2.67479	80.0	-44.7966	11027900.0	107.732	0.0	698.0	246.0	0.0	0.0	0.0	0.0	1	left	1
11.126821	0.00616333	3.0	80.0	-44.2049	10273200.0	97.604	0.0	649.0	89.0	0.0	0.0	0.0	0.0	1	left	1
11.227405	0.0122137	2.99389	80.0	-44.3786	10318500.0	97.8	0.0	655.0	126.0	0.0	0.0	0.0	0.0	1	left	1
